testDate,expression,movement,quality,benchmarkPct
21/01/2024,isometric,agility,deceleration,1.138
23/01/2024,dynamic,upper body,push,0.4345
25/01/2024,isometric,upper body,pull,
12/02/2024,dynamic,jump,land,0.668
20/02/2024,isometric,jump,land,
21/02/2024,isometric,upper body,push,0.772
02/03/2024,dynamic,sprint,max velocity,0.637
11/03/2024,isometric,sprint,acceleration,0.52
15/03/2024,dynamic,jump,land,0.668
16/03/2024,isometric,agility,rotate,
19/03/2024,isometric,upper body,push,0.704
01/04/2024,dynamic,jump,land,0.6625
24/04/2024,isometric,upper body,pull,
25/04/2024,isometric,jump,land,
03/05/2024,isometric,jump,pre-load,0.52
08/05/2024,isometric,upper body,grapple,
08/05/2024,isometric,sprint,max velocity,0.1995
14/05/2024,dynamic,upper body,push,0.43
24/05/2024,isometric,agility,deceleration,1.1365
08/06/2024,dynamic,agility,deceleration,0.876
16/06/2024,isometric,jump,pre-load,0.49
16/06/2024,dynamic,upper body,pull,0.89
17/06/2024,isometric,jump,take off,
21/06/2024,isometric,jump,take off,
23/06/2024,dynamic,upper body,push,0.436
01/07/2024,isometric,agility,deceleration,1.135
07/07/2024,dynamic,upper body,push,0.43
09/07/2024,isometric,sprint,acceleration,0.7165
23/07/2024,isometric,upper body,push,0.922
27/07/2024,isometric,agility,deceleration,1.0335
21/08/2024,dynamic,sprint,acceleration,0.428
09/09/2024,isometric,jump,land,0.368
16/09/2024,isometric,jump,take off,0.386
18/09/2024,isometric,jump,take off,0.3945
19/09/2024,isometric,upper body,pull,
28/09/2024,dynamic,sprint,max velocity,0.702
28/09/2024,isometric,sprint,max velocity,0.6975
29/09/2024,dynamic,jump,pre-load,0.57
04/10/2024,isometric,jump,land,0.426
04/10/2024,isometric,jump,pre-load,0.6925
04/10/2024,dynamic,jump,take off,0.6955
08/10/2024,dynamic,upper body,pull,0.868
11/10/2024,isometric,agility,acceleration,0.6925
12/10/2024,isometric,jump,land,0.426
13/10/2024,dynamic,upper body,pull,0.868
17/10/2024,isometric,upper body,grapple,0.6595
28/10/2024,dynamic,agility,acceleration,0.486
12/11/2024,dynamic,jump,take off,0.69
15/11/2024,isometric,upper body,grapple,0.6795
17/11/2024,isometric,sprint,max velocity,0.6325
30/11/2024,isometric,agility,acceleration,0.79
30/11/2024,isometric,agility,deceleration,0.87
09/12/2024,isometric,jump,land,0.42
11/12/2024,dynamic,agility,acceleration,0.498
14/12/2024,isometric,upper body,pull,0.46
16/12/2024,isometric,sprint,acceleration,0.796
21/12/2024,isometric,agility,rotate,0.68
28/12/2024,isometric,upper body,pull,0.46
30/12/2024,isometric,upper body,push,0.876
01/01/2025,isometric,agility,deceleration,0.9155
06/01/2025,isometric,upper body,push,0.876
07/01/2025,dynamic,upper body,pull,0.853
13/01/2025,isometric,upper body,push,0.918
22/01/2025,dynamic,upper body,push,0.5
04/02/2025,isometric,upper body,grapple,0.6445
05/02/2025,dynamic,jump,take off,0.68
13/02/2025,dynamic,upper body,push,0.495
15/02/2025,isometric,upper body,grapple,0.6415
23/02/2025,isometric,sprint,max velocity,0.707
25/02/2025,isometric,jump,land,0.3955
03/03/2025,isometric,agility,acceleration,0.807
04/03/2025,isometric,agility,rotate,0.6385
11/03/2025,isometric,agility,deceleration,0.96
12/03/2025,dynamic,upper body,push,0.49
19/07/2023,isometric,agility,acceleration,
11/08/2023,dynamic,jump,land,0.69
14/08/2023,isometric,jump,take off,
17/08/2023,isometric,jump,pre-load,
23/08/2023,isometric,jump,land,
31/08/2023,isometric,upper body,push,
31/08/2023,isometric,agility,deceleration,1.0395
10/09/2023,dynamic,jump,take off,0.7085
13/09/2023,dynamic,sprint,acceleration,0.388
27/09/2023,dynamic,agility,acceleration,0.4305
02/10/2023,dynamic,agility,acceleration,0.4305
24/10/2023,dynamic,sprint,acceleration,0.4305
28/10/2023,isometric,upper body,grapple,
31/10/2023,dynamic,sprint,max velocity,0.6475
11/11/2023,isometric,upper body,grapple,
20/11/2023,dynamic,jump,take off,0.631
26/11/2023,isometric,sprint,acceleration,0.52
11/12/2023,isometric,jump,pre-load,0.52
11/12/2023,dynamic,jump,take off,0.6355
13/12/2023,dynamic,agility,deceleration,0.87
15/12/2023,isometric,agility,deceleration,1.04
23/12/2023,dynamic,sprint,acceleration,0.43
25/12/2023,isometric,agility,deceleration,1.112
01/01/2024,isometric,upper body,pull,
07/01/2024,isometric,jump,take off,
08/01/2024,isometric,agility,rotate,
10/01/2024,isometric,upper body,pull,
12/01/2024,isometric,sprint,acceleration,0.52
16/01/2024,isometric,jump,land,
18/01/2024,isometric,upper body,grapple,
28/01/2024,dynamic,upper body,push,0.4345
04/02/2024,isometric,jump,pre-load,0.52
19/02/2024,isometric,jump,take off,
05/03/2024,dynamic,sprint,acceleration,0.4445
08/03/2024,dynamic,jump,land,0.668
09/03/2024,dynamic,agility,acceleration,0.4445
22/03/2024,isometric,upper body,grapple,
02/04/2024,isometric,upper body,push,0.704
16/04/2024,isometric,sprint,max velocity,-0.2
28/04/2024,isometric,jump,land,
10/05/2024,isometric,upper body,pull,
16/05/2024,isometric,upper body,push,0.704
04/06/2024,isometric,jump,take off,
12/06/2024,dynamic,sprint,acceleration,0.43
17/06/2024,dynamic,jump,pre-load,0.4655
20/06/2024,isometric,jump,land,
27/06/2024,isometric,jump,pre-load,0.49
30/06/2024,isometric,agility,acceleration,0.49
03/07/2024,dynamic,upper body,pull,0.89
05/07/2024,isometric,agility,deceleration,1.135
08/07/2024,dynamic,jump,land,0.684
11/07/2024,isometric,agility,acceleration,0.7165
11/07/2024,isometric,agility,deceleration,1.044
18/07/2024,isometric,agility,rotate,0.278
20/07/2024,isometric,agility,acceleration,0.685
06/08/2024,isometric,agility,deceleration,1.032
07/08/2024,dynamic,upper body,push,0.428
08/08/2024,isometric,jump,take off,0.363
10/08/2024,isometric,sprint,max velocity,0.756
16/08/2024,isometric,jump,pre-load,0.7305
20/08/2024,isometric,upper body,push,0.96
21/08/2024,dynamic,jump,take off,0.723
23/08/2024,isometric,jump,pre-load,0.7305
02/09/2024,dynamic,agility,deceleration,0.9
07/09/2024,dynamic,upper body,push,0.496
17/09/2024,isometric,sprint,max velocity,0.6975
28/09/2024,isometric,upper body,push,0.936
07/10/2024,dynamic,jump,take off,0.6955
07/10/2024,dynamic,sprint,acceleration,0.494
30/10/2024,dynamic,upper body,push,0.486
16/11/2024,dynamic,jump,take off,0.69
17/11/2024,isometric,agility,acceleration,0.7515
27/11/2024,isometric,agility,acceleration,0.79
01/12/2024,isometric,agility,deceleration,0.87
02/12/2024,isometric,upper body,grapple,0.6805
03/12/2024,isometric,agility,deceleration,0.8655
03/12/2024,isometric,agility,rotate,0.6805
05/12/2024,isometric,agility,rotate,0.6805
12/12/2024,isometric,sprint,max velocity,0.685
15/12/2024,dynamic,upper body,pull,0.876
12/01/2025,isometric,agility,deceleration,0.92
13/01/2025,isometric,agility,acceleration,0.79
17/01/2025,dynamic,jump,take off,0.67
24/01/2025,isometric,upper body,pull,0.46
25/01/2025,isometric,agility,rotate,0.6675
16/02/2025,dynamic,jump,pre-load,0.5225
18/02/2025,isometric,jump,land,0.3955
18/02/2025,isometric,agility,rotate,0.6385
20/02/2025,isometric,agility,deceleration,0.96
03/03/2025,isometric,sprint,max velocity,0.77
05/03/2025,dynamic,sprint,acceleration,0.495
08/03/2025,dynamic,jump,land,0.735
10/03/2025,dynamic,upper body,pull,0.88
10/03/2025,isometric,sprint,acceleration,0.787
13/07/2023,isometric,jump,land,
14/07/2023,dynamic,jump,pre-load,0.662
18/07/2023,isometric,agility,acceleration,
22/07/2023,dynamic,agility,deceleration,0.8525
22/07/2023,isometric,agility,rotate,
24/07/2023,dynamic,jump,take off,0.7365
02/08/2023,dynamic,upper body,push,0.395
07/08/2023,dynamic,jump,pre-load,0.589
26/08/2023,dynamic,jump,pre-load,0.58
30/08/2023,isometric,agility,acceleration,0.52
06/09/2023,dynamic,agility,acceleration,0.3635
09/09/2023,dynamic,jump,pre-load,0.51
09/09/2023,isometric,sprint,max velocity,
10/09/2023,isometric,agility,deceleration,1.0395
17/09/2023,dynamic,jump,take off,0.7085
24/09/2023,isometric,jump,take off,
07/10/2023,isometric,sprint,acceleration,0.52
26/10/2023,isometric,jump,land,
02/11/2023,dynamic,jump,land,0.69
03/11/2023,dynamic,sprint,max velocity,0.6475
06/11/2023,dynamic,agility,deceleration,0.871
10/11/2023,dynamic,jump,take off,0.651
18/11/2023,isometric,agility,deceleration,1.038
20/11/2023,dynamic,jump,land,0.69
02/12/2023,isometric,jump,land,
04/12/2023,dynamic,jump,take off,0.631
07/12/2023,isometric,upper body,pull,
08/12/2023,isometric,upper body,pull,
15/12/2023,isometric,sprint,max velocity,
17/12/2023,isometric,agility,deceleration,1.04
19/12/2023,isometric,upper body,grapple,
28/12/2023,isometric,jump,pre-load,0.52
30/12/2023,isometric,upper body,pull,
03/01/2024,isometric,jump,take off,
17/01/2024,isometric,sprint,acceleration,0.52
20/01/2024,dynamic,sprint,max velocity,0.598
29/01/2024,isometric,jump,land,
16/02/2024,isometric,agility,deceleration,1.148
21/02/2024,dynamic,jump,pre-load,0.476
24/02/2024,dynamic,sprint,acceleration,0.4445
05/03/2024,dynamic,agility,deceleration,0.89
06/03/2024,dynamic,jump,take off,0.64
07/03/2024,dynamic,jump,land,0.668
11/03/2024,isometric,jump,land,
19/03/2024,isometric,jump,land,
19/03/2024,isometric,agility,deceleration,1.138
28/03/2024,dynamic,sprint,max velocity,0.637
09/04/2024,dynamic,jump,pre-load,0.521
18/04/2024,isometric,sprint,acceleration,0.52
19/04/2024,dynamic,sprint,acceleration,0.43
20/04/2024,dynamic,jump,pre-load,0.53
21/04/2024,dynamic,jump,take off,0.64
23/04/2024,isometric,jump,pre-load,0.52
07/05/2024,isometric,jump,land,
07/05/2024,dynamic,jump,pre-load,0.4785
15/05/2024,dynamic,upper body,pull,0.876
20/05/2024,isometric,jump,land,
01/06/2024,isometric,jump,land,
06/06/2024,dynamic,agility,deceleration,0.876
11/06/2024,isometric,sprint,max velocity,0.1995
26/06/2024,dynamic,jump,take off,0.639
27/06/2024,isometric,jump,land,
02/07/2024,dynamic,sprint,acceleration,0.43
21/07/2024,isometric,sprint,max velocity,0.768
27/07/2024,isometric,jump,pre-load,0.685
31/07/2024,dynamic,upper body,push,0.428
01/08/2024,isometric,jump,take off,0.372
01/08/2024,dynamic,upper body,pull,0.852
11/08/2024,isometric,upper body,push,0.96
01/09/2024,dynamic,jump,land,0.641
06/09/2024,isometric,jump,pre-load,0.7275
10/09/2024,dynamic,sprint,acceleration,0.4955
11/09/2024,isometric,upper body,push,0.936
12/09/2024,dynamic,agility,acceleration,0.4955
13/09/2024,dynamic,jump,take off,0.7185
18/09/2024,dynamic,agility,acceleration,0.494
22/09/2024,dynamic,agility,acceleration,0.494
22/09/2024,dynamic,sprint,max velocity,0.6765
25/09/2024,dynamic,upper body,push,0.494
28/09/2024,dynamic,agility,deceleration,0.896
30/09/2024,isometric,agility,deceleration,0.86
05/10/2024,isometric,sprint,acceleration,0.6925
06/10/2024,dynamic,sprint,acceleration,0.494
10/10/2024,dynamic,jump,land,0.65
11/10/2024,dynamic,jump,take off,0.7165
11/10/2024,isometric,upper body,pull,
13/10/2024,isometric,sprint,max velocity,0.6975
23/10/2024,isometric,upper body,pull,
23/10/2024,isometric,upper body,push,0.936
23/10/2024,isometric,agility,rotate,0.6695
03/11/2024,isometric,agility,rotate,0.6795
13/11/2024,isometric,sprint,max velocity,0.6325
18/11/2024,isometric,jump,take off,0.39
29/11/2024,isometric,upper body,push,0.876
30/11/2024,dynamic,upper body,pull,0.856
30/11/2024,isometric,agility,rotate,0.6795
07/12/2024,dynamic,agility,deceleration,0.876
09/12/2024,dynamic,sprint,acceleration,0.498
14/12/2024,isometric,upper body,grapple,0.68
15/12/2024,isometric,agility,rotate,0.68
25/01/2025,dynamic,agility,acceleration,0.5
08/02/2025,dynamic,upper body,pull,0.87
18/02/2025,dynamic,jump,take off,0.68
18/02/2025,dynamic,upper body,pull,0.87
20/02/2025,isometric,agility,rotate,0.6385
21/02/2025,isometric,jump,land,0.3955
01/03/2025,dynamic,agility,deceleration,0.87
02/03/2025,dynamic,jump,pre-load,0.5605
11/03/2025,dynamic,jump,take off,0.68
11/07/2023,isometric,upper body,pull,
19/07/2023,dynamic,agility,deceleration,0.8525
08/08/2023,dynamic,jump,take off,0.7365
11/08/2023,isometric,agility,deceleration,0.9525
14/08/2023,dynamic,agility,acceleration,0.358
15/08/2023,dynamic,jump,pre-load,0.522
15/08/2023,dynamic,upper body,pull,0.8695
16/08/2023,dynamic,upper body,pull,0.8695
25/08/2023,isometric,jump,land,
27/08/2023,isometric,agility,rotate,
09/09/2023,dynamic,agility,acceleration,0.388
10/09/2023,isometric,upper body,pull,
15/09/2023,isometric,upper body,push,
15/09/2023,isometric,agility,acceleration,0.52
22/09/2023,dynamic,agility,deceleration,0.871
04/10/2023,dynamic,agility,acceleration,0.4305
11/10/2023,dynamic,upper body,push,0.4305
19/10/2023,isometric,jump,land,
19/10/2023,isometric,agility,acceleration,0.52
25/10/2023,dynamic,jump,pre-load,0.4985
25/10/2023,dynamic,sprint,acceleration,0.4305
27/10/2023,dynamic,jump,land,0.6615
30/10/2023,isometric,upper body,grapple,
03/11/2023,dynamic,upper body,pull,0.871
05/11/2023,isometric,agility,acceleration,0.52
17/11/2023,isometric,upper body,push,0.67
28/11/2023,isometric,agility,acceleration,0.52
08/12/2023,dynamic,sprint,acceleration,0.43
27/12/2023,dynamic,agility,acceleration,0.426
31/12/2023,isometric,agility,rotate,
09/01/2024,dynamic,jump,pre-load,0.504
10/01/2024,dynamic,jump,pre-load,0.484
14/01/2024,isometric,agility,acceleration,0.52
25/01/2024,dynamic,jump,land,0.668
02/02/2024,isometric,jump,take off,
08/02/2024,isometric,upper body,grapple,
11/02/2024,dynamic,jump,pre-load,0.507
17/02/2024,dynamic,jump,land,0.668
20/02/2024,dynamic,sprint,max velocity,0.637
21/02/2024,isometric,sprint,acceleration,0.52
23/02/2024,dynamic,sprint,acceleration,0.4445
26/02/2024,dynamic,sprint,acceleration,0.4445
07/03/2024,dynamic,sprint,acceleration,0.4445
16/03/2024,dynamic,upper body,pull,0.89
24/03/2024,isometric,agility,rotate,
26/03/2024,isometric,sprint,max velocity,
28/03/2024,isometric,upper body,pull,
02/04/2024,dynamic,upper body,pull,0.89
14/04/2024,isometric,upper body,pull,
27/04/2024,dynamic,agility,deceleration,0.89
03/05/2024,isometric,upper body,pull,
13/05/2024,isometric,jump,pre-load,0.52
17/05/2024,dynamic,agility,acceleration,0.43
19/05/2024,isometric,jump,land,
20/05/2024,dynamic,sprint,acceleration,0.43
26/05/2024,isometric,jump,pre-load,0.49
07/06/2024,isometric,agility,rotate,
24/06/2024,isometric,upper body,pull,
29/06/2024,dynamic,agility,acceleration,0.436
02/07/2024,dynamic,agility,deceleration,0.89
07/07/2024,isometric,upper body,grapple,
18/07/2024,dynamic,jump,land,0.678
30/07/2024,dynamic,upper body,pull,0.852
31/07/2024,dynamic,upper body,pull,0.852
21/08/2024,dynamic,agility,deceleration,0.855
26/08/2024,isometric,sprint,max velocity,0.756
04/09/2024,dynamic,jump,land,0.6495
04/09/2024,isometric,agility,acceleration,0.729
08/09/2024,dynamic,upper body,push,0.496
08/09/2024,isometric,agility,acceleration,0.7275
17/09/2024,isometric,agility,acceleration,0.72
18/09/2024,isometric,sprint,max velocity,0.6975
20/09/2024,dynamic,upper body,pull,0.9
11/10/2024,dynamic,upper body,pull,0.868
21/10/2024,dynamic,jump,take off,0.7165
26/10/2024,isometric,agility,deceleration,0.8515
02/11/2024,dynamic,sprint,acceleration,0.486
09/11/2024,dynamic,sprint,max velocity,0.64
14/11/2024,dynamic,jump,land,0.666
21/11/2024,dynamic,jump,take off,0.69
24/11/2024,isometric,upper body,push,0.936
24/11/2024,isometric,sprint,max velocity,0.6325
29/11/2024,isometric,agility,deceleration,0.86
12/12/2024,isometric,agility,rotate,0.68
29/12/2024,dynamic,jump,land,0.728
01/01/2025,dynamic,upper body,push,0.498
02/01/2025,dynamic,sprint,max velocity,0.67
06/01/2025,dynamic,jump,pre-load,0.494
10/01/2025,dynamic,sprint,max velocity,0.67
11/01/2025,isometric,sprint,max velocity,0.749
12/01/2025,dynamic,upper body,push,0.5
17/01/2025,isometric,sprint,max velocity,0.749
26/01/2025,isometric,agility,acceleration,0.7475
05/02/2025,isometric,sprint,max velocity,0.728
06/02/2025,dynamic,upper body,pull,0.87
08/02/2025,isometric,agility,rotate,0.6415
12/02/2025,isometric,jump,pre-load,0.79
16/02/2025,isometric,sprint,acceleration,0.79
20/02/2025,dynamic,sprint,max velocity,0.651
27/02/2025,isometric,sprint,max velocity,0.707
28/02/2025,isometric,sprint,max velocity,0.77
03/07/2023,dynamic,jump,land,0.729
04/07/2023,isometric,jump,pre-load,
27/07/2023,isometric,agility,acceleration,
28/07/2023,dynamic,upper body,pull,0.8525
02/08/2023,dynamic,upper body,pull,0.8525
09/08/2023,dynamic,jump,take off,0.7335
11/08/2023,dynamic,jump,take off,0.7335
18/08/2023,dynamic,agility,acceleration,0.338
19/08/2023,dynamic,upper body,push,0.3495
23/08/2023,dynamic,upper body,push,0.412
28/08/2023,isometric,sprint,max velocity,
30/08/2023,isometric,sprint,max velocity,
11/09/2023,isometric,upper body,pull,
12/09/2023,isometric,agility,rotate,
15/09/2023,dynamic,upper body,push,0.388
15/09/2023,dynamic,agility,acceleration,0.388
17/09/2023,isometric,agility,acceleration,0.52
18/09/2023,isometric,upper body,grapple,
23/09/2023,dynamic,jump,pre-load,0.49
23/09/2023,dynamic,agility,acceleration,0.4305
26/09/2023,dynamic,upper body,pull,0.871
01/10/2023,isometric,jump,land,
04/10/2023,isometric,jump,land,
23/10/2023,dynamic,jump,pre-load,0.4985
23/10/2023,dynamic,jump,take off,0.6955
25/10/2023,dynamic,agility,acceleration,0.4305
31/10/2023,isometric,jump,take off,
15/11/2023,dynamic,sprint,acceleration,0.43
17/11/2023,dynamic,agility,deceleration,0.871
18/11/2023,dynamic,sprint,acceleration,0.43
24/11/2023,isometric,jump,pre-load,0.52
27/11/2023,dynamic,agility,deceleration,0.871
03/12/2023,dynamic,sprint,max velocity,0.6475
19/12/2023,dynamic,agility,acceleration,0.43
20/12/2023,isometric,upper body,push,0.664
28/12/2023,dynamic,agility,deceleration,0.87
07/01/2024,dynamic,upper body,push,0.426
11/01/2024,isometric,jump,take off,
11/01/2024,isometric,agility,acceleration,0.52
13/01/2024,dynamic,jump,pre-load,0.498
24/01/2024,dynamic,upper body,push,0.4345
28/01/2024,dynamic,upper body,pull,0.879
29/01/2024,isometric,sprint,max velocity,
07/02/2024,isometric,jump,land,
09/02/2024,dynamic,jump,pre-load,0.507
17/02/2024,dynamic,agility,deceleration,0.89
19/02/2024,dynamic,jump,take off,0.64
27/02/2024,dynamic,upper body,pull,0.89
05/03/2024,dynamic,jump,land,0.668
07/03/2024,isometric,sprint,max velocity,
09/03/2024,dynamic,jump,take off,0.64
26/03/2024,dynamic,agility,acceleration,0.4445
03/04/2024,isometric,jump,take off,
06/04/2024,dynamic,upper body,pull,0.89
12/04/2024,isometric,agility,deceleration,1.1365
27/04/2024,isometric,upper body,pull,
05/05/2024,isometric,upper body,push,0.704
06/05/2024,dynamic,jump,pre-load,0.521
08/05/2024,isometric,sprint,acceleration,0.52
15/05/2024,isometric,jump,take off,
09/06/2024,isometric,sprint,max velocity,0.1995
14/06/2024,dynamic,jump,pre-load,0.4655
16/06/2024,dynamic,jump,land,0.723
24/06/2024,isometric,upper body,push,0.704
02/07/2024,dynamic,sprint,max velocity,0.625
08/07/2024,isometric,upper body,pull,
24/07/2024,dynamic,agility,deceleration,0.855
25/07/2024,isometric,jump,land,0.381
28/07/2024,dynamic,agility,deceleration,0.855
24/08/2024,isometric,agility,deceleration,0.953
27/08/2024,isometric,jump,take off,0.363
30/08/2024,isometric,agility,deceleration,0.95
10/09/2024,dynamic,upper body,push,0.4955
11/09/2024,isometric,agility,deceleration,0.932
14/09/2024,dynamic,sprint,max velocity,0.678
25/09/2024,isometric,sprint,acceleration,0.72
15/10/2024,isometric,agility,acceleration,0.72
18/10/2024,dynamic,jump,take off,0.7165
19/10/2024,dynamic,sprint,acceleration,0.486
22/10/2024,isometric,upper body,pull,
28/10/2024,isometric,jump,pre-load,0.6935
31/10/2024,isometric,sprint,max velocity,0.68
09/11/2024,isometric,upper body,pull,
17/11/2024,isometric,jump,pre-load,0.7515
18/11/2024,dynamic,jump,take off,0.69
03/12/2024,dynamic,upper body,push,0.498
10/12/2024,dynamic,sprint,acceleration,0.498
15/12/2024,isometric,sprint,max velocity,0.685
24/12/2024,dynamic,sprint,acceleration,0.498
02/01/2025,isometric,jump,pre-load,0.79
09/01/2025,isometric,upper body,pull,0.46
10/01/2025,dynamic,jump,take off,0.675
10/01/2025,isometric,sprint,acceleration,0.79
11/01/2025,dynamic,agility,acceleration,0.5
14/01/2025,dynamic,upper body,pull,0.853
18/01/2025,isometric,jump,pre-load,0.7475
20/01/2025,dynamic,upper body,pull,0.853
23/01/2025,dynamic,upper body,pull,0.853
23/01/2025,dynamic,upper body,push,0.5
23/01/2025,isometric,sprint,acceleration,0.7475
25/01/2025,isometric,sprint,max velocity,0.749
05/02/2025,isometric,agility,deceleration,0.9595
08/02/2025,isometric,jump,take off,0.39
12/02/2025,isometric,jump,take off,0.397
16/02/2025,isometric,upper body,grapple,0.6415
03/07/2023,isometric,jump,take off,
08/07/2023,isometric,agility,rotate,
16/07/2023,dynamic,sprint,acceleration,0.33
17/07/2023,isometric,upper body,pull,
18/07/2023,dynamic,sprint,acceleration,0.33
22/07/2023,dynamic,jump,pre-load,0.589
25/07/2023,isometric,agility,rotate,
26/07/2023,dynamic,sprint,acceleration,0.345
01/08/2023,isometric,agility,rotate,
28/08/2023,dynamic,jump,take off,0.69
29/08/2023,dynamic,jump,land,0.69
30/08/2023,dynamic,sprint,max velocity,0.5845
15/09/2023,isometric,upper body,grapple,
27/09/2023,dynamic,sprint,max velocity,0.5845
29/09/2023,dynamic,sprint,acceleration,0.4305
30/09/2023,isometric,upper body,pull,
01/10/2023,isometric,sprint,max velocity,
02/10/2023,dynamic,upper body,push,0.4305
13/10/2023,dynamic,sprint,acceleration,0.4305
17/10/2023,isometric,agility,deceleration,1.038
04/11/2023,isometric,jump,pre-load,0.52
05/11/2023,dynamic,agility,deceleration,0.871
08/11/2023,isometric,upper body,grapple,
09/11/2023,dynamic,agility,acceleration,0.431
13/11/2023,isometric,agility,acceleration,0.52
16/11/2023,dynamic,sprint,max velocity,0.6475
25/11/2023,isometric,agility,rotate,
26/11/2023,isometric,upper body,push,0.67
04/12/2023,dynamic,upper body,push,0.43
05/12/2023,dynamic,agility,deceleration,0.87
07/12/2023,dynamic,upper body,pull,0.87
12/12/2023,isometric,jump,pre-load,0.52
18/12/2023,isometric,agility,rotate,
19/12/2023,isometric,sprint,acceleration,0.52
22/12/2023,isometric,upper body,pull,
23/12/2023,dynamic,agility,deceleration,0.87
23/12/2023,isometric,sprint,max velocity,
20/01/2024,isometric,sprint,max velocity,
10/02/2024,isometric,sprint,acceleration,0.52
12/02/2024,dynamic,sprint,max velocity,0.637
15/02/2024,dynamic,sprint,acceleration,0.4345
11/03/2024,isometric,agility,acceleration,0.52
19/03/2024,isometric,upper body,grapple,
21/03/2024,dynamic,jump,take off,0.6525
28/03/2024,dynamic,jump,pre-load,0.524
29/03/2024,isometric,agility,rotate,
29/03/2024,dynamic,sprint,acceleration,0.44
30/03/2024,isometric,agility,acceleration,0.52
02/04/2024,isometric,jump,pre-load,0.52
03/04/2024,isometric,upper body,push,0.704
04/04/2024,dynamic,agility,deceleration,0.89
08/04/2024,dynamic,upper body,pull,0.89
20/04/2024,isometric,jump,land,
04/05/2024,isometric,agility,rotate,
10/05/2024,isometric,sprint,max velocity,0.1995
12/05/2024,dynamic,upper body,push,0.43
15/05/2024,isometric,agility,rotate,
18/05/2024,isometric,upper body,pull,
24/05/2024,isometric,jump,land,
28/05/2024,isometric,upper body,push,0.704
31/05/2024,dynamic,sprint,max velocity,0.625
05/06/2024,isometric,jump,pre-load,0.49
05/06/2024,isometric,agility,rotate,
20/06/2024,dynamic,agility,acceleration,0.43
26/06/2024,dynamic,upper body,push,0.436
04/07/2024,isometric,upper body,grapple,
07/07/2024,dynamic,jump,land,0.652
07/07/2024,dynamic,sprint,acceleration,0.43
16/07/2024,dynamic,agility,deceleration,0.894
22/07/2024,isometric,jump,land,0.3975
26/07/2024,isometric,jump,land,0.381
02/08/2024,isometric,jump,take off,0.372
06/08/2024,isometric,agility,rotate,0.384
13/08/2024,dynamic,sprint,max velocity,0.6795
30/08/2024,dynamic,upper body,pull,0.9
08/09/2024,dynamic,jump,take off,0.72
13/09/2024,dynamic,sprint,acceleration,0.4955
14/09/2024,isometric,upper body,push,0.936
28/09/2024,isometric,jump,land,0.426
14/10/2024,dynamic,jump,land,0.65
19/10/2024,dynamic,agility,deceleration,0.88
01/11/2024,isometric,upper body,grapple,0.6695
01/11/2024,dynamic,upper body,push,0.486
02/11/2024,dynamic,jump,land,0.666
06/11/2024,dynamic,sprint,max velocity,0.64
10/11/2024,isometric,sprint,max velocity,0.6325
13/11/2024,isometric,upper body,pull,
19/11/2024,isometric,upper body,grapple,0.6895
30/11/2024,isometric,upper body,pull,
01/12/2024,dynamic,agility,acceleration,0.498
06/12/2024,isometric,sprint,acceleration,0.796
09/12/2024,isometric,sprint,max velocity,0.685
10/12/2024,isometric,upper body,push,0.876
14/12/2024,isometric,sprint,max velocity,0.685
16/12/2024,dynamic,upper body,pull,0.876
30/12/2024,isometric,sprint,max velocity,0.67
02/01/2025,isometric,agility,rotate,0.6705
04/01/2025,dynamic,upper body,pull,0.856
06/01/2025,dynamic,upper body,pull,0.853
07/01/2025,dynamic,upper body,push,0.5
20/01/2025,isometric,agility,rotate,0.6675
27/01/2025,dynamic,jump,pre-load,0.53
27/01/2025,isometric,jump,take off,0.4495
29/01/2025,isometric,agility,rotate,0.6675
10/02/2025,isometric,sprint,acceleration,0.79
17/02/2025,dynamic,agility,acceleration,0.495
07/03/2025,isometric,agility,acceleration,0.787
08/03/2025,isometric,upper body,grapple,0.627
08/03/2025,isometric,agility,acceleration,0.787
02/07/2023,isometric,sprint,max velocity,
07/07/2023,dynamic,upper body,push,0.32
20/07/2023,isometric,agility,acceleration,
21/07/2023,isometric,sprint,acceleration,
21/07/2023,dynamic,sprint,max velocity,0.67
25/07/2023,isometric,upper body,pull,
25/07/2023,dynamic,sprint,acceleration,0.345
31/07/2023,dynamic,jump,take off,0.7365
11/08/2023,dynamic,upper body,push,0.358
19/08/2023,isometric,jump,land,
21/08/2023,dynamic,sprint,max velocity,0.67
27/08/2023,isometric,upper body,pull,
13/09/2023,dynamic,jump,land,0.69
03/10/2023,dynamic,jump,take off,0.711
08/10/2023,dynamic,jump,pre-load,0.564
11/10/2023,isometric,sprint,max velocity,
13/10/2023,dynamic,jump,take off,0.72
22/10/2023,isometric,sprint,max velocity,
28/10/2023,isometric,agility,rotate,
02/11/2023,isometric,sprint,acceleration,0.52
05/11/2023,isometric,jump,land,
07/11/2023,dynamic,sprint,acceleration,0.43
09/11/2023,isometric,jump,take off,
13/11/2023,dynamic,agility,deceleration,0.871
19/11/2023,isometric,upper body,grapple,
28/11/2023,dynamic,sprint,max velocity,0.6475
30/11/2023,dynamic,sprint,max velocity,0.6475
14/12/2023,dynamic,jump,take off,0.6355
14/12/2023,isometric,agility,deceleration,1.04
20/12/2023,isometric,agility,deceleration,1.112
22/12/2023,isometric,jump,pre-load,0.52
01/01/2024,isometric,agility,acceleration,0.52
